State,Area,2018-Total,2019-Total,2020-Total,2018-Mining and Logging,2019-Mining and Logging,2020-Mining and Logging,2018-Construction,2019-Construction,2020-Construction,2018-Manufacturing,2019-Manufacturing,2020-Manufacturing,"2018-Trade, transportation, and utilities","2019-Trade, transportation, and utilities","2020-Trade, transportation, and utilities",2018-Information,2019-Information,2020-Information,2018-Financial activities,2019-Financial activities,2020-Financial activities,2018-Professional and business services,2019-Professional and business services,2020-Professional and business services,2018-Education and health services,2019-Education and health services,2020-Education and health services,2018-Leisure and hospitality,2019-Leisure and hospitality,2020-Leisure and hospitality,2018-Other services,2019-Other services,2020-Other services,2018-Government,2019-Government,2020-Government
Alabama,Total,2044.5,2074.8,1986.1,10.0,10.2,9.6,89.2,93.7,93.0,266.9,268.9,257.8,381.0,383.4,374.5,21.1,21.3,19.3,96.3,96.5,96.5,245.1,251.1,242.0,245.2,250.1,238.1,206.0,208.5,178.3,97.1,99.3,92.3,386.8,391.9,384.6
Alabama,Anniston-Oxford-Jacksonville(1),47.2,47.3,45.3,–,–,–,1.1,1.2,1.2,6.6,6.6,6.4,9.0,9.0,8.8,0.4,0.4,0.4,1.3,1.3,1.3,4.5,4.2,4.0,4.9,4.8,4.5,5.1,5.1,4.4,1.7,1.8,1.7,12.6,13.0,12.7
Alabama,Auburn-Opelika(1),65.5,67.3,64.1,–,–,–,2.5,2.7,2.8,6.6,6.3,6.0,11.9,12.5,12.3,0.5,0.5,0.5,2.0,1.9,1.9,7.3,7.2,6.9,4.6,5.0,4.6,8.8,9.1,7.7,2.4,2.7,2.4,18.9,19.5,18.9
Alabama,Birmingham-Hoover,539.2,546.1,520.4,2.8,2.8,2.5,27.9,29.6,28.8,39.0,39.4,37.0,109.0,108.3,104.6,7.5,7.5,7.5,42.0,42.1,42.5,69.2,69.9,67.5,74.0,75.9,72.7,52.8,53.1,43.8,30.8,31.5,28.9,84.2,86.0,84.6
Alabama,Daphne-Fairhope-Foley(2),77.9,80.5,76.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.7,10.0,10.1
Alabama,Decatur(1),56.1,57.5,56.5,–,–,–,3.9,4.2,4.4,13.1,13.3,13.3,10.2,10.5,10.4,0.2,0.3,0.3,2.0,2.1,2.1,5.7,6.0,5.9,5.2,5.2,4.9,5.3,5.3,4.7,2.1,2.2,2.1,8.2,8.4,8.3
Alabama,Dothan(1),58.8,60.0,58.0,–,–,–,2.5,2.7,2.6,5.4,5.4,5.2,15.4,15.5,15.0,0.6,0.5,0.4,2.0,2.1,2.1,4.7,5.0,4.9,8.6,8.9,8.7,6.3,6.5,5.9,2.7,2.8,2.6,10.6,10.7,10.6
Alabama,Florence-Muscle Shoals(1),57.0,57.6,54.8,–,–,–,3.5,3.7,3.9,9.4,9.0,8.1,11.6,11.5,11.0,0.4,0.4,0.4,2.3,2.4,2.3,4.1,4.1,4.0,6.9,7.3,7.2,6.4,6.5,5.8,2.3,2.5,2.3,10.0,10.2,9.9
Alabama,Gadsden(1),38.0,37.4,33.9,–,–,–,1.1,1.0,1.1,5.5,5.3,4.4,6.8,6.8,6.6,0.3,0.3,0.2,1.3,1.3,1.2,4.3,4.0,3.4,7.9,7.8,7.1,4.1,4.0,3.4,1.6,1.6,1.5,5.3,5.3,5.1
Alabama,Huntsville(1),238.7,245.2,240.9,–,–,–,9.2,9.5,9.7,25.2,25.9,26.2,34.0,35.1,34.4,2.6,2.4,2.2,6.9,7.0,7.1,57.4,60.0,60.8,21.8,22.3,21.4,22.5,22.6,19.3,8.2,8.6,8.2,51.2,51.9,51.7
